x,y
-49.98287875720802,249596.38507812982
-49.73287875720802,247826.16645421076
-49.48287875720802,244267.01258834673
-49.23287875720802,236893.83392285823
-48.98287875720802,235718.30602212506
-48.73287875720802,232962.07405917227
-48.48287875720802,227437.24920113882
-48.23287875720802,225429.13496946226
-47.98287875720802,222683.08064482457
-47.73287875720802,215637.8222069644
-47.48287875720802,214185.81639813597
-47.23287875720802,212704.12997567057
-46.98287875720802,207493.6905099556
-46.73287875720802,205981.70586921985
-46.48287875720802,202405.1004652332
-46.23287875720802,198353.89322077567
-45.98287875720802,195087.7935520738
-45.73287875720802,191192.07009996762
-45.48287875720802,190730.26940609058
-45.23287875720802,184098.11759756695
-44.98287875720802,182297.5339719955
-44.73287875720802,181180.0799573773
-44.48287875720802,176609.43541088354
-44.23287875720802,174270.53403069588
-43.98287875720802,171082.36560698607
-43.73287875720802,168789.1432002087
-43.48287875720802,166403.01929705733
-43.23287875720802,161121.26681284094
-42.98287875720802,159617.2275210105
-42.73287875720802,157091.9598641883
-42.48287875720802,153963.3323708079
-42.23287875720802,151462.118203542
-41.98287875720802,149179.57310292692
-41.73287875720802,147322.09252101454
-41.48287875720802,144364.17530855708
-41.23287875720802,144364.17530855708
-40.98287875720802,139332.84087722222
-40.73287875720802,135758.00683116636
-40.48287875720802,134054.37212830278
-40.23287875720802,131866.29075069094
-39.98287875720802,128892.66781243432
-39.73287875720802,126782.82642921148
-39.48287875720802,122929.05858106648
-39.23287875720802,122218.59458485337
-38.98287875720802,119625.97723880387
-38.73287875720802,116472.4128954588
-38.48287875720802,114764.77966468874
-38.23287875720802,114764.77966468874
-37.98287875720802,108186.70614345839
-37.73287875720802,108186.70614345839
-37.48287875720802,107140.2332008587
-37.23287875720802,105847.82528847147
-36.98287875720802,101639.10489610942
-36.73287875720802,100002.037870211
-36.48287875720802,100002.037870211
-36.23287875720802,95594.11896316853
-35.98287875720802,95594.11896316851
-35.73287875720802,31763.340328616905
-35.48287875720802,1.3563116745356785
-35.23287875720802,0.8846820520724893
-34.98287875720802,0.7831899739674782
-34.73287875720802,2.206104852820832
-34.48287875720802,2.206104852820832
-34.23287875720802,7.139204867827715
-33.98287875720802,7.139204867827715
-33.73287875720802,8.10965162100223
-33.48287875720802,9.979879901718348
-33.23287875720802,11.04214973022099
-32.98287875720802,13.673875933776998
-32.73287875720802,17.864821192931206
-32.48287875720802,20.243850367814478
-32.23287875720802,26.377435418423726
-31.98287875720802,27.909251127710007
